fcs_colname,antigen,marker_class
102Pd,102Pd,none
104Pd,104Pd,none
105Pd,105Pd,none
106Pd,106Pd,none
108Pd,108Pd,none
110Pd,110Pd,none
113In,113In,none
127I,127I,none
131Xe,131Xe,none
138Ba,138Ba,none
140Ce,140Ce,none
141Pr_CD70,141Pr_CD70,type
142Ce,142Ce,none
142Nd_CD19,142Nd_CD19,type
143Nd_CD123,143Nd_CD123,type
144Nd_CD11b,144Nd_CD11b,type
145Nd,145Nd,none
146Nd_IgD,146Nd_IgD,type
147Sm_CD11c,147Sm_CD11c,type
148Nd_PD-L1,148Nd_PD-L1,type
149Sm_CD200,149Sm_CD200,type
150Nd_CD43,150Nd_CD43,none
151Eu_CD14,151Eu_CD14,none
152Sm_CD95,152Sm_CD95,type
153Eu_TIM-3,153Eu_TIM-3,none
154Sm,154Sm,none
155Gd_BAFFR,155Gd_BAFFR,type
156Gd_CD86,156Gd_CD86,type
158Gd_CD137L,158Gd_CD137L,type
159Tb_CD22,159Tb_CD22,type
160Dy,160Dy,none
160Gd_CD200R,160Gd_CD200R,type
161Dy,161Dy,none
162Dy_CD80,162Dy_CD80,type
163Dy_CD95L,163Dy_CD95L,none
164Dy_GITRL,164Dy_GITRL,none
165Ho_CD40,165Ho_CD40,type
166Er_SIGLEC_10,166Er_SIGLEC_10,type
167Er_CD27,167Er_CD27,type
168Er_OX40L,168Er_OX40L,type
169Tm_CD24,169Tm_CD24,type
170Er_CD3,170Er_CD3,none
171Yb_CD20,171Yb_CD20,type
172Yb_IgM,172Yb_IgM,type
173Yb_CD137,173Yb_CD137,type
174Yb_HLA-DR,174Yb_HLA-DR,type
175Lu_PD-1,175Lu_PD-1,type
176Lu,176Lu,none
176Yb_CD56,176Yb_CD56,type
190BCKG,190BCKG,none
191Ir,191Ir,none
193Ir,193Ir,none
194Pt,194Pt,none
195Pt,195Pt,none
198Pt,198Pt,none
208Pb,208Pb,none
209Bi_CD16,209Bi_CD16,none
89Y_CD45,89Y_CD45,none
