Feature,CASE Median,CTRL Median,Cluster Number,P Val,Bonferroni P-Values
89Y_CD45,5.4114838472339,5.14348318855894,5,7.181976949424138e-78,2.197684946523786e-75
171Yb_CD20,2.01452221380594,1.754506213063135,8,3.507428215851405e-66,1.0732730340505299e-63
89Y_CD45,5.20845977607168,5.09466834512953,8,1.3691996360608515e-57,4.1897508863462054e-55
169Tm_CD24,0.440528543799365,0.174250457284397,3,1.554634154015399e-52,4.757180511287121e-50
142Nd_CD19,2.04043207118411,1.89583903832963,8,1.1050371100639098e-48,3.381413556795564e-46
171Yb_CD20,2.90291625791135,2.60252422333309,2,8.321721555061884e-43,2.5464467958489365e-40
152Sm_CD95,1.31549655995654,1.4720139110847348,8,4.3431305590457895e-40,1.3289979510680115e-37
89Y_CD45,5.17045718547358,5.07531532496207,4,6.772759734698248e-36,2.0724644788176638e-33
172Yb_IgM,1.92135515126306,1.713511725394,8,8.848765020709712e-30,2.707722096337172e-27
142Nd_CD19,2.17674634864216,1.957257673448,5,1.0729998548609224e-28,3.2833795558744224e-26
165Ho_CD40,1.48441749763064,1.29214954276358,4,1.152525051572858e-26,3.5267266578129456e-24
171Yb_CD20,2.66745797914637,2.3325945966615,5,1.4056968364410128e-25,4.301432319509499e-23
160Gd_CD200R,1.15024973376576,1.42676258338096,5,2.744116393081902e-25,8.39699616283062e-23
174Yb_HLA-DR,1.777241883608815,2.03994624041755,3,1.6109657826621978e-24,4.929555294946325e-22
171Yb_CD20,2.13433256123799,1.94436576139686,4,4.371919848993631e-24,1.337807473792051e-21
155Gd_BAFFR,4.368463416679325,4.44334934000108,3,3.63271390455381e-23,1.1116104547934658e-20
172Yb_IgM,2.4874452346353904,2.29874815768762,3,1.2554563980065776e-22,3.841696577900128e-20
172Yb_IgM,1.80575287665136,1.62359872238685,4,3.51792204192949e-22,1.0764841448304239e-19
172Yb_IgM,2.7761271908284852,2.55345372473054,1,3.2954370401916766e-21,1.008403734298653e-18
174Yb_HLA-DR,3.25436670124191,2.99443470556795,5,3.6690798592508566e-19,1.1227384369307621e-16
146Nd_IgD,2.608492496066755,2.74703994781654,3,6.192104755360106e-19,1.8947840551401924e-16
89Y_CD45,5.27803456249347,5.19804350143056,2,1.2257350961580797e-18,3.750749394243724e-16
155Gd_BAFFR,4.22689501718763,4.29458301992856,4,3.539413162422797e-18,1.0830604277013759e-15
147Sm_CD11c,0.303462866740781,0.531389975684412,5,9.23131029118851e-18,2.8247809491036844e-15
155Gd_BAFFR,4.31369674195602,4.42417556626046,5,1.3526353040820484e-16,4.139064030491068e-14
143Nd_CD123,0.2793101212357795,0.187088080697061,3,8.674691143713438e-16,2.654455489976312e-13
156Gd_CD86,1.00453034194725,1.29442554165233,5,2.7311021901689497e-15,8.357172701916986e-13
174Yb_HLA-DR,1.53876353048791,1.28949024655563,1,4.653709673939146e-15,1.4240351602253786e-12
171Yb_CD20,2.586488095725495,2.38542963593646,1,7.737896503555234e-15,2.3677963300879015e-12
166Er_SIGLEC_10,1.42187969434585,1.60567751266701,5,8.171179878037785e-15,2.500381042679562e-12
144Nd_CD11b,0.392374053005911,0.595982430900342,5,1.601501148863155e-14,4.900593515521255e-12
142Nd_CD19,2.22850888033527,2.12374814444827,2,1.67723154786792e-13,5.132328536475836e-11
142Nd_CD19,1.95687545367597,1.88026322742179,4,2.324287706981066e-13,7.112320383362063e-11
160Gd_CD200R,1.76699629696531,1.89091877447502,2,4.2417796647770674e-13,1.2979845774217825e-10
89Y_CD45,5.47926533485909,5.41910754048997,1,1.1112853952750864e-12,3.4005333095417644e-10
147Sm_CD11c,0.5225649747059695,0.735885300439654,1,3.0251166488251964e-12,9.2568569454051e-10
167Er_CD27,2.66437706734026,2.81588832401129,1,3.032827315677303e-12,9.280451585972548e-10
169Tm_CD24,0.0,0.198563021254888,9,2.8151378914342833e-11,8.614321947788906e-09
150Nd_CD43,4.72996526477894,4.85750408066012,5,3.513818307066194e-11,1.0752284019622554e-08
147Sm_CD11c,0.840129394208518,1.04021921315202,2,1.2956812403210446e-10,3.964784595382396e-08
146Nd_IgD,1.25710870179042,1.5481254093318,5,1.5944547013105078e-10,4.879031386010154e-08
155Gd_BAFFR,4.13422875155487,3.29518405395669,9,1.9268068912607365e-10,5.8960290872578534e-08
159Tb_CD22,1.91376236568339,1.78348718335865,1,3.4417545353817014e-10,1.0531768878268007e-07
166Er_SIGLEC_10,1.7560838877661,1.8327561641805201,8,6.543185254249546e-10,2.0022146878003612e-07
165Ho_CD40,0.0957850493483314,0.477371436319393,9,2.453958271928095e-09,7.509112312099971e-07
159Tb_CD22,0.09323964341696106,0.384847589697245,9,2.97440176204946e-09,9.101669391871347e-07
166Er_SIGLEC_10,1.690367301556585,1.78419955475374,3,7.574766327865735e-09,2.3178784963269147e-06
174Yb_HLA-DR,1.49389599254394,1.565683485104265,8,2.883577001008723e-08,8.823745623086692e-06
170Er_CD3,1.17726838561702,1.51221373644491,6,3.0124001921738364e-08,9.21794458805194e-06
149Sm_CD200,1.7657804752225,1.93073297884144,5,5.2900690765861944e-08,1.6187611374353754e-05
166Er_SIGLEC_10,2.296978858932545,2.42419277502252,1,1.1243175799590497e-07,3.4404117946746924e-05
165Ho_CD40,2.05281686247361,1.92465817674246,2,1.914733341484755e-07,5.859084024943351e-05
160Gd_CD200R,1.43570831764656,1.54300283259234,1,2.663507382830517e-07,8.150332591461383e-05
169Tm_CD24,0.255332560059098,0.183831150851673,8,5.516356130538506e-07,0.00016880049759447827
144Nd_CD11b,0.5579518402017749,0.637504429859199,1,6.725023008216091e-07,0.0002057857040514124
155Gd_BAFFR,4.07072552356975,4.10658048303296,8,7.116001699241229e-07,0.0002177496519967816
165Ho_CD40,1.54479559344719,1.45934684211518,1,8.051925794946273e-07,0.000246388929325356
156Gd_CD86,0.649429221905023,0.57787427957364,4,9.16301714734311e-07,0.0002803883247086992
144Nd_CD11b,0.695066088147806,0.782447321320738,2,1.1925799096719674e-06,0.00036492945235962204
148Nd_PD-L1,0.676763366832199,0.805773107055229,5,1.36247788804721e-06,0.00041691823374244625
142Nd_CD19,2.1741542332373998,2.09683979091516,1,1.8547560294385624e-06,0.0005675553450082
142Nd_CD19,2.0691825410636,1.752327131547,9,2.2446004450517837e-06,0.0006868477361858458
170Er_CD3,0.475243441362017,0.585917639207871,5,2.4369999855303904e-06,0.0007457219955722995
169Tm_CD24,0.0646389758286752,0.005259835681426,5,2.680373573521073e-06,0.0008201943134974484
172Yb_IgM,1.849072405519725,1.16851856016328,9,2.7275401672256405e-06,0.000834627291171046
174Yb_HLA-DR,2.33324813478768,2.20619305171161,2,3.475106745952703e-06,0.0010633826642615272
146Nd_IgD,0.157593265915433,0.220643357234252,2,4.375566356637004e-06,0.0013389233051309232
150Nd_CD43,4.815548585036475,4.88066627383751,1,8.470726411014623e-06,0.0025920422817704747
162Dy_CD80,0.0,0.0,5,8.530095467150991e-06,0.0026102092129482034
169Tm_CD24,0.185125764428556,0.138961343804908,4,8.808257410532301e-06,0.002695326767622884
174Yb_HLA-DR,0.3652682492759135,0.712189239274812,9,9.7187346423368e-06,0.002973932800555061
152Sm_CD95,1.59289155557583,1.80760097860583,6,1.124888358435588e-05,0.0034421583768128993
149Sm_CD200,0.263683745238459,1.206316198704,7,1.1423989826273028e-05,0.0034957408868395465
170Er_CD3,0.817615076390736,0.889952967850867,2,1.739000314953195e-05,0.0053213409637567766
149Sm_CD200,0.08307099442686786,0.323431504464679,9,2.138740979371453e-05,0.0065445473968766465
89Y_CD45,5.10943031300719,4.91478302237171,9,2.172255830029994e-05,0.006647102839891781
172Yb_IgM,0.308529792167615,0.254003876462632,2,2.2666720563685846e-05,0.006936016492487869
153Eu_TIM-3,0.0,0.0,5,2.307429209040983e-05,0.007060733379665407
170Er_CD3,0.688448592492428,0.79930002502353,1,2.9794583072795656e-05,0.00911714242027547
148Nd_PD-L1,0.86933145836315,0.974574967646482,2,3.278559431926689e-05,0.010032391861695668
160Gd_CD200R,1.26587237839507,1.32614974166877,4,3.587470672837275e-05,0.010977660258882062
149Sm_CD200,1.43813732894881,1.380815035954535,8,4.20553379375296e-05,0.012868933408884058
174Yb_HLA-DR,1.35133879668834,0.691045064508908,7,4.582142183672708e-05,0.014021355082038488
150Nd_CD43,4.91987364257634,4.96807116886833,2,6.335745161369629e-05,0.019387380193791066
176Yb_CD56,0.4979216572063885,0.41583335677599953,6,6.507715334031108e-05,0.01991360892213519
146Nd_IgD,1.10094091666208,1.17473948864195,4,7.455733545938191e-05,0.022814544650570864
165Ho_CD40,1.64652525482141,1.57719438289284,3,7.725999653949688e-05,0.023641558941086046
147Sm_CD11c,0.377315207660948,0.43430543184781,4,8.501638389708675e-05,0.026015013472508546
89Y_CD45,5.30649759252522,5.33198244651838,3,9.973564852496749e-05,0.030519108448640052
167Er_CD27,0.253697791643165,0.318636736574907,5,0.00010579686304088649,0.032373840090511266
171Yb_CD20,2.2165417960879603,1.77855300788109,9,0.00013591657422879738,0.041590471714012
175Lu_PD-1,0.132742424735702,0.173344381022002,5,0.0001391885066792874,0.04259168304386194
168Er_OX40L,0.1434369405671825,0.18085231339039,1,0.00014705211427823295,0.04499794696913929
173Yb_CD137,0.08203324892894079,0.0605404102348489,1,0.0001537454931019688,0.04704612088920245
151Eu_CD14,0.2594329499903325,0.291563467975366,1,0.00015987141482426398,0.04892065293622478
143Nd_CD123,0.277654728340332,0.332294819128401,2,0.0003464252941801986,0.10600614001914078
143Nd_CD123,0.183071273848521,0.247124956096224,5,0.00035019896850826916,0.10716088436353036
151Eu_CD14,0.216692189614352,0.262002165174495,5,0.00038252591778025684,0.11705293084075859
168Er_OX40L,0.0,0.0,5,0.0004041552518488428,0.1236715070657459
155Gd_BAFFR,4.3972392432753,4.42922888453568,2,0.0004604888378322439,0.14090958437666665
150Nd_CD43,4.919746547138425,5.21099021999186,9,0.0004950966921633266,0.15149958780197795
156Gd_CD86,0.641098570394665,0.594849288676519,3,0.0006218716463577519,0.19029272378547207
167Er_CD27,0.6240641480895459,0.7431708319362905,6,0.0006706474698940175,0.20521812578756934
152Sm_CD95,1.53911235485932,1.43979092127412,5,0.0007473986651148911,0.2287039915251567
209Bi_CD16,0.238438266672477,0.26229987700394,8,0.0008985174992287264,0.27494635476399026
143Nd_CD123,0.26521971229455,0.238586035415464,4,0.0013367464538371519,0.4090444148741685
153Eu_TIM-3,0.0,0.0,1,0.001372575753614798,0.42000818060612816
174Yb_HLA-DR,1.18920894286397,1.10534569674842,4,0.001447309870139166,0.4428768202625848
209Bi_CD16,0.3129134707779175,0.259515403502147,6,0.0014620704443759256,0.44739355597903324
146Nd_IgD,0.26703602633822,0.515286240813102,9,0.001706755682403566,0.5222672388154912
162Dy_CD80,0.38911412441508,0.319884592725495,2,0.0017630163693436822,0.5394830090191668
176Yb_CD56,0.328799515295833,0.372796737999484,5,0.002073765943882578,0.6345723788280688
148Nd_PD-L1,1.34489003091973,1.30482907955642,8,0.0021019142778122956,0.6431857690105625
151Eu_CD14,0.295899097329746,0.329956212696628,2,0.0021742407086228228,0.6653176568385838
167Er_CD27,0.1935686323011625,0.223563055644423,3,0.0023701972441832484,0.725280356720074
159Tb_CD22,2.59913509096953,2.556353040405645,8,0.002452674758945015,0.7505184762371746
175Lu_PD-1,0.0678694865593453,0.0957096134146291,4,0.0026969904080594302,0.8252790648661856
164Dy_GITRL,0.0,0.0,5,0.0027336156561884846,0.8364863907936763
149Sm_CD200,1.65920477634465,1.70908612822382,4,0.00316685957350733,0.969059029493243
147Sm_CD11c,1.664381839415995,1.5485605433315999,6,0.0031718948198956954,0.9705998148880828
163Dy_CD95L,0.0,0.0,6,0.003238126545721602,0.9908667229908102
159Tb_CD22,0.739228112230714,0.517013061013697,7,0.03957077259612298,1.0
146Nd_IgD,1.38925428695836,1.36891966955652,8,0.434282249456283,1.0
158Gd_CD137L,0.0,0.0,7,0.4033447586532401,1.0
156Gd_CD86,1.3783389542699,1.01864510928539,7,0.004275345856825524,1.0
155Gd_BAFFR,3.66193065981921,3.68095308781623,7,0.43895105812982593,1.0
153Eu_TIM-3,0.0871101907203125,0.0062355196217275,7,0.2604643220475504,1.0
152Sm_CD95,1.42625944726492,1.05726536407802,7,0.03614389086941703,1.0
151Eu_CD14,0.249557552497595,0.324312893569224,7,0.18814409983597757,1.0
