Feature,CASE Median,CTRL Median,p-value,Bonferroni P-Values
104Pd,2.17871063595126,2.7548307618367,0.0,0.0
102Pd,4.92644212839704,5.08568204272008,4.984803199931457e-249,1.1963527679835497e-247
195Pt,3.86713687994339,4.050493892306,1.710484775525459e-177,4.105163461261102e-176
194Pt,3.94758517381202,4.09967994729399,2.081893494306075e-157,4.99654438633458e-156
198Pt,1.93032940880702,2.11592312782335,2.193670259701641e-122,5.264808623283938e-121
108Pd,1.98130616551713,2.32668230766143,1.6735414896576206e-101,4.0164995751782896e-100
142Ce,2.07392284762673,1.98010925678792,6.341605718803688e-71,1.521985372512885e-69
160Dy,1.52465034989503,1.63995710200427,9.433093783385805e-47,2.2639425080125932e-45
105Pd,2.75618324745425,2.7488824115386,3.367816756179885e-31,8.082760214831725e-30
110Pd,3.4176043977473,1.74697484744753,1.4957710446189396e-24,3.589850507085455e-23
191Ir,5.13576482396171,5.14771660402005,9.744092376607425e-14,2.338582170385782e-12
193Ir,5.74255951564528,5.74985397775011,1.327434078379518e-07,3.185841788110843e-06
106Pd,2.77763008799307,2.48881633873073,3.209103043339261e-07,7.701847304014226e-06
127I,0.0,0.0,3.4740583106803403e-07,8.337739945632817e-06
113In,0.0,0.0,0.0001036469519766241,0.0024875268474389783
145Nd,0.0,0.0,0.0006586074988642373,0.015806579972741694
208Pb,0.626450422920024,0.649068072413029,0.0011835458887178862,0.02840510132922927
176Lu,0.361935953124897,0.38154131212043,0.0056885487569325495,0.1365251701663812
161Dy,0.0,0.0,0.007030204004623194,0.16872489611095665
131Xe,0.0,0.0,0.01494821973281042,0.3587572735874501
154Sm,0.0,0.0,0.032889414619299936,0.7893459508631985
190BCKG,0.0,0.0,0.05828660884663206,1.0
140Ce,0.0,0.0,0.15328584532883632,1.0
138Ba,0.531786599914368,0.523979834424824,0.252086261432513,1.0
