Feature,CASE Median,CTRL Median,Cluster Number,P Val,Bonferroni P-Values
104Pd,1.82565073020237,4.4791166178677155,8,0.0,0.0
104Pd,2.16913559782265,4.86235904910094,5,9.825118557373891e-178,2.1222256083927604e-175
105Pd,4.5458300157539,2.46600104436093,8,2.0215189467809857e-167,4.366480925046929e-165
105Pd,2.41806978964236,4.94996681738526,5,8.578647471847467e-151,1.852987853919053e-148
110Pd,4.7380350196225,1.4308900092049,5,8.264334468046291e-127,1.7850962450979989e-124
102Pd,4.74627976656262,4.9977685456048,8,1.9078057992631822e-116,4.1208605264084734e-114
108Pd,4.91894177070013,1.91663164687795,5,9.596682138642839e-114,2.0728833419468532e-111
110Pd,4.62987393185783,1.68785629906154,1,5.830007732904072e-102,1.2592816703072795e-99
195Pt,3.53603147406152,4.09488866275995,5,4.8752009899898565e-101,1.053043413837809e-98
105Pd,2.6100236520310203,4.52886770795903,3,2.7526295094370913e-93,5.945679740384117e-91
194Pt,3.70278860761594,4.13294390029092,5,4.449320093409435e-92,9.61053140176438e-90
108Pd,1.8500425732250352,2.59443410938596,1,8.894787968558292e-85,1.921274201208591e-82
198Pt,1.5494022596257,2.10795204904263,5,2.797965125709174e-82,6.0436046715318155e-80
195Pt,3.794600625964655,4.14647869516002,1,3.683294572603397e-78,7.955916276823338e-76
108Pd,1.59700536613513,2.128514135600185,8,4.804846481401157e-78,1.03784683998265e-75
110Pd,3.767683812444805,1.36704594600496,3,3.9826857851903364e-76,8.602601296011126e-74
104Pd,2.2230780420595204,2.57297457326684,1,7.966366607705565e-72,1.7207351872644018e-69
194Pt,3.930531311728325,4.19497193311928,1,1.5935600910179947e-66,3.4420897965988684e-64
108Pd,2.05379640254946,3.08452266221043,2,7.3548339665653885e-62,1.588644136778124e-59
106Pd,2.53025585419124,2.07026862545669,4,4.633068696706524e-61,1.0007428384886091e-58
104Pd,2.200001043041195,2.93473014708012,3,4.493870513228741e-59,9.70676030857408e-57
198Pt,1.8439087348779148,2.20607990608544,1,4.927339419695099e-59,1.0643053146541414e-56
110Pd,1.42730634726118,1.848273372001025,8,3.5274047899042754e-58,7.619194346193235e-56
104Pd,2.4474806544787597,5.09947295034735,6,7.545648334226897e-52,1.6298600401930097e-49
142Ce,2.0440250608319,1.89610923987666,8,1.1664608518794947e-48,2.5195554400597085e-46
104Pd,2.42448090626056,2.76627481321644,2,3.352945732717726e-48,7.242362782670289e-46
108Pd,1.669759834474435,2.01998049753239,3,1.2126334796024166e-39,2.61928831594122e-37
106Pd,3.76406088906519,2.304249092166235,8,2.2334972228596085e-39,4.824354001376754e-37
195Pt,3.65282729038703,3.85798724035011,4,2.4784740382367484e-39,5.353503922591377e-37
